Території, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017
с. Виноградове, 4412, 4404, 4373, 4345, 4336, 4295, 4259, 4219
с. Тарасівка, 1694, 1752, 1884, 1896, 1890, 1860, 1886, 1857
с. Клини, 606, 602, 601, 597, 612, 604, 610, 599
с. Привітне, 463, 405, 410, 417, 481, 415, 425, 408
с. Рідне, 82, 87, 88, 89, 93, 95, 92, 93
смт. Брилівка, 4062, 4052, 4045, 4032, 4017, 4014, 4007, 3998
с. Мирне, 450, 447, 440, 438, 432, 427, 421, 415
Виноградівська ОТГ, 11769, 11749, 11841, 11814, 11861, 11710, 11700, 11589
Олешківський район, 72570, 72441, 72358, 72200, 72100, 71800, 71461, 71250
Херсонська область, 1088237, 1083367, 1078232, 1072500, 1067900, 1062400, 1055649, 1050970
